PID    | TIME
1600   | 21:24:21.189923
6996   | 21:24:21.193924
11780  | 21:24:21.197924
10448  | 21:24:21.201926
6652   | 21:24:21.205927
9716   | 21:24:21.210928
11444  | 21:24:21.215929
6576   | 21:24:21.220930
2928   | 21:24:21.224931
9916   | 21:24:21.229932
10688  | 21:24:21.233933
3200   | 21:24:21.236934
11156  | 21:24:21.240935
10656  | 21:24:21.244935
11636  | 21:24:21.248936
11312  | 21:24:21.252937
12088  | 21:24:21.256937
11284  | 21:24:21.261939
6584   | 21:24:21.265941
9748   | 21:24:21.270942
10904  | 21:24:21.274942
7720   | 21:24:21.278943
10860  | 21:24:21.282944
11352  | 21:24:21.285945
11192  | 21:24:21.289945
12000  | 21:24:21.294947
10652  | 21:24:21.298947
7936   | 21:24:21.302949
8324   | 21:24:21.306950
6136   | 21:24:21.309950
10516  | 21:24:21.313951
5728   | 21:24:21.317952
1600   | 21:24:21.321953
6996   | 21:24:21.325954
11780  | 21:24:21.329955
10448  | 21:24:21.334956
6652   | 21:24:21.338957
9716   | 21:24:21.342957
11444  | 21:24:21.346959
6576   | 21:24:21.350959
2928   | 21:24:21.353960
9916   | 21:24:21.357961
10688  | 21:24:21.361962
3200   | 21:24:21.365963
11156  | 21:24:21.369964
10656  | 21:24:21.373964
11636  | 21:24:21.377966
11312  | 21:24:21.381967
12088  | 21:24:21.385968
11284  | 21:24:21.389968
6584   | 21:24:21.393969
9748   | 21:24:21.397970
10904  | 21:24:21.401971
7720   | 21:24:21.406972
10860  | 21:24:21.410973
11352  | 21:24:21.414974
11192  | 21:24:21.418975
12000  | 21:24:21.422975
10652  | 21:24:21.426976
7936   | 21:24:21.430978
8324   | 21:24:21.434978
6136   | 21:24:21.438979
10516  | 21:24:21.441980
5728   | 21:24:21.446981
1600   | 21:24:21.451983
6996   | 21:24:21.456984
11780  | 21:24:21.460984
10448  | 21:24:21.465986
6652   | 21:24:21.469986
9716   | 21:24:21.473987
11444  | 21:24:21.477988
6576   | 21:24:21.481989
2928   | 21:24:21.485990
9916   | 21:24:21.489990
10688  | 21:24:21.493992
3200   | 21:24:21.497992
11156  | 21:24:21.501994
10656  | 21:24:21.504994
11636  | 21:24:21.508995
11312  | 21:24:21.512996
12088  | 21:24:21.516997
11284  | 21:24:21.521998
6584   | 21:24:21.525999
9748   | 21:24:21.530000
10904  | 21:24:21.535001
7720   | 21:24:21.539002
10860  | 21:24:21.544003
11352  | 21:24:21.548006
11192  | 21:24:21.552006
12000  | 21:24:21.556008
10652  | 21:24:21.559008
7936   | 21:24:21.563009
8324   | 21:24:21.567010
6136   | 21:24:21.571011
10516  | 21:24:21.575011
5728   | 21:24:21.579012
1600   | 21:24:21.583013
6996   | 21:24:21.587015
11780  | 21:24:21.591015
10448  | 21:24:21.595016
6652   | 21:24:21.599017
9716   | 21:24:21.603018
11444  | 21:24:21.607019
6576   | 21:24:21.611020
2928   | 21:24:21.615021
9916   | 21:24:21.619021
10688  | 21:24:21.623022
3200   | 21:24:21.627024
11156  | 21:24:21.631024
10656  | 21:24:21.644275
11636  | 21:24:21.648276
11312  | 21:24:21.652277
12088  | 21:24:21.656277
11284  | 21:24:21.660278
6584   | 21:24:21.664279
9748   | 21:24:21.668280
10904  | 21:24:21.672281
7720   | 21:24:21.677282
10860  | 21:24:21.682283
11352  | 21:24:21.686284
11192  | 21:24:21.690285
12000  | 21:24:21.694286
10652  | 21:24:21.698287
7936   | 21:24:21.702288
8324   | 21:24:21.707289
6136   | 21:24:21.711290
10516  | 21:24:21.715291
5728   | 21:24:21.719292
1600   | 21:24:21.723292
6996   | 21:24:21.727294
11780  | 21:24:21.731294
10448  | 21:24:21.735295
6652   | 21:24:21.739296
9716   | 21:24:21.743297
11444  | 21:24:21.747298
6576   | 21:24:21.751299
2928   | 21:24:21.756301
9916   | 21:24:21.760302
10688  | 21:24:21.764302
3200   | 21:24:21.768303
11156  | 21:24:21.772304
10656  | 21:24:21.776304
11636  | 21:24:21.780306
11312  | 21:24:21.784306
12088  | 21:24:21.788308
